Community,envscore,pcfreq
Capital Region,A,0.054253883673401435
Capital Region,A+,0.12207123826515323
Capital Region,B,0.08816256096927733
Capital Region,C,0.22379727015278092
Capital Region,D,0.0678173545917518
Capital Region,E,0.047472148214226254
Capital Region,F,0.047472148214226254
Countryside,A,0.16068054362363846
Countryside,A+,0.22763077013348784
Countryside,B,0.42848144966303586
Countryside,C,0.16068054362363846
Countryside,D,0.12051040771772885
Countryside,E,0.13390045301969872
Countryside,F,0.08034027181181923
Metropolitan Area,A,0.03977030924598833
Metropolitan Area,A+,0.04545178199541523
Metropolitan Area,B,0.10226650948968428
Metropolitan Area,C,0.11931092773796498
Metropolitan Area,D,0.09658503674025738
Metropolitan Area,E,0.03977030924598833
Metropolitan Area,F,0.07385914574254976
