Community,nutriscore,pcfreq
Capital Region,A,0.06854719293609048
Capital Region,B,0.18279251449624123
Capital Region,C,0.13709438587218095
Capital Region,D,0.25133970743233175
Capital Region,E,0.1218616763308275
Countryside,A,0.12107242570699302
Countryside,B,0.42375348997447554
Countryside,C,0.2179303662725874
Countryside,D,0.3390027919795805
Countryside,E,0.24214485141398603
Metropolitan Area,A,0.0487115552502576
Metropolitan Area,B,0.18266833218846604
Metropolitan Area,C,0.0974231105005152
Metropolitan Area,D,0.17049044337590163
Metropolitan Area,E,0.07915627728166862
