distance,largest_cc,second_largest_cc,number_of_stores,regions,n_regions,second_region,first_region,ratio
500.0,0,0,0,set(),,,,
577.6632,0,0,0,set(),,,,
655.3264,0,0,0,set(),,,,
732.9896,0,0,0,set(),,,,
810.6528000000001,0,0,0,set(),,,,
888.316,0,0,0,set(),,,,
965.9792,0,0,0,set(),,,,
1043.6424000000002,0,0,0,set(),,,,
1121.3056000000001,0,0,0,set(),,,,
1198.9688,0,0,0,set(),,,,
1276.632,0,0,0,set(),,,,
1354.2952,0,0,0,set(),,,,
1431.9584,0,0,0,set(),,,,
1509.6216,2,0,2,{'Hovedstaden': 2},1.0,,2.0,
1587.2848000000001,3,0,3,{'Hovedstaden': 3},1.0,,3.0,
1664.948,5,0,5,{'Hovedstaden': 5},1.0,,5.0,
1742.6112,8,3,11,{'Hovedstaden': 8},1.0,,8.0,
1820.2744,20,0,20,{'Hovedstaden': 20},1.0,,20.0,
1897.9376,29,0,29,{'Hovedstaden': 29},1.0,,29.0,
1975.6008000000002,37,0,37,{'Hovedstaden': 37},1.0,,37.0,
2053.264,39,0,39,{'Hovedstaden': 39},1.0,,39.0,
2130.9272,41,0,41,{'Hovedstaden': 41},1.0,,41.0,
2208.5904,45,0,45,{'Hovedstaden': 45},1.0,,45.0,
2286.2536,52,0,52,{'Hovedstaden': 52},1.0,,52.0,
2363.9168,56,0,56,{'Hovedstaden': 56},1.0,,56.0,
2441.58,63,0,63,{'Hovedstaden': 63},1.0,,63.0,
2519.2432,66,0,66,{'Hovedstaden': 66},1.0,,66.0,
2596.9064000000003,69,0,69,{'Hovedstaden': 69},1.0,,69.0,
2674.5696000000003,70,0,70,{'Hovedstaden': 70},1.0,,70.0,
2752.2328,75,0,75,{'Hovedstaden': 75},1.0,,75.0,
2829.896,79,0,79,{'Hovedstaden': 79},1.0,,79.0,
2907.5592,80,0,80,{'Hovedstaden': 80},1.0,,80.0,
2985.2224,81,0,81,{'Hovedstaden': 81},1.0,,81.0,
3062.8856,81,0,81,{'Hovedstaden': 81},1.0,,81.0,
3140.5488,84,0,84,{'Hovedstaden': 84},1.0,,84.0,
3218.212,86,0,86,{'Hovedstaden': 86},1.0,,86.0,
3295.8752,88,0,88,{'Hovedstaden': 88},1.0,,88.0,
3373.5384,91,0,91,{'Hovedstaden': 91},1.0,,91.0,
3451.2016000000003,95,0,95,{'Hovedstaden': 95},1.0,,95.0,
3528.8648000000003,99,0,99,{'Hovedstaden': 99},1.0,,99.0,
3606.5280000000002,101,2,103,{'Hovedstaden': 101},1.0,,101.0,
3684.1912,103,3,106,{'Hovedstaden': 103},1.0,,103.0,
3761.8544,107,4,111,{'Hovedstaden': 107},1.0,,107.0,
3839.5176,111,4,115,{'Hovedstaden': 111},1.0,,111.0,
3917.1808,112,5,117,{'Hovedstaden': 112},1.0,,112.0,
3994.844,113,6,119,{'Hovedstaden': 113},1.0,,113.0,
