p_value,mantel_r,bin_centers,p_value_distance,mantel_distance
,,538.8316,,
,,616.4947999999999,,
,,694.158,,
,,771.8212000000001,,
,,849.4844,,
,,927.1476,,
,,1004.8108000000001,,
,,1082.4740000000002,,
,,1160.1372000000001,,
,,1237.8004,,
,,1315.4636,,
,,1393.1268,,
0.835,0.0005259579187080331,1470.79,0.825,0.0005259579187080328
0.523,0.0019862288773965344,1548.4532,0.526,0.001996327871591711
0.721,0.0013816004988678105,1626.1164,0.77,0.0013433852772110726
0.262,0.005934780863297295,1703.7796,0.276,0.005916422711192297
0.003,0.027812489448491858,1781.4428,0.005,0.027885726593921526
0.022,0.027184583860420754,1859.106,0.016,0.026930219491419424
0.001,0.04827015485685217,1936.7692000000002,0.001,0.04852602229780621
0.001,0.05972933363794649,2014.4324000000001,0.001,0.06041467464820065
0.001,0.058590166503334117,2092.0956,0.001,0.0587775023226555
0.001,0.07135987823594167,2169.7588,0.001,0.07224346181736208
0.001,0.07186181224224614,2247.422,0.001,0.07120488881043945
0.001,0.07065756296890399,2325.0852,0.001,0.0691832665899151
0.001,0.07594814129724381,2402.7484,0.001,0.0741027960846543
0.001,0.07709209219584523,2480.4116,0.001,0.07493485266446838
0.001,0.07697835475254348,2558.0748000000003,0.001,0.07431161224407044
0.001,0.07760900150257619,2635.7380000000003,0.001,0.07486545305772789
0.001,0.07995982737411336,2713.4012000000002,0.001,0.07664692169996168
0.001,0.0817720210760346,2791.0644,0.001,0.07805945258168545
0.001,0.08191111630670082,2868.7276,0.001,0.07800106764970915
0.001,0.08617680734023646,2946.3908,0.001,0.08304282724525727
0.001,0.08617680734023646,3024.054,0.001,0.08304282724525727
0.001,0.08868448402934101,3101.7172,0.001,0.08522252283196091
0.001,0.0889606447915808,3179.3804,0.001,0.08486748825826054
0.001,0.08873962613928935,3257.0436,0.001,0.08391676524064107
0.001,0.09003032963332398,3334.7068,0.001,0.08461465082510503
0.001,0.09335068302829645,3412.37,0.001,0.08774195770616272
0.001,0.09281037431690356,3490.0332000000003,0.001,0.08598592117919225
0.001,0.0952914989036593,3567.6964000000003,0.001,0.088647478079677
0.001,0.09374958749505011,3645.3596000000002,0.001,0.0861263598822169
0.001,0.09721121035040867,3723.0228,0.002,0.08962572139667406
0.001,0.1024638008903582,3800.686,0.001,0.09543046184554926
0.001,0.10304017881983327,3878.3492,0.001,0.09589312538344127
0.001,0.10248565692730038,3956.0124,0.001,0.09484170185628829
0.001,0.10364539558707041,4033.6756,0.001,0.09606139934106717
0.001,0.11113238621382454,4111.3387999999995,0.001,0.10537556752938312
0.001,0.1121248718253578,4189.002,0.001,0.10593922717466082
0.001,0.11112129863811873,4266.6652,0.001,0.10415172009059757
0.001,0.11227168201410498,4344.3284,0.001,0.10530013167685301
0.001,0.11212211088169625,4421.9916,0.001,0.10507461252607306
0.001,0.11272878910034762,4499.6548,0.001,0.10424200854663607
0.001,0.1126153593561246,4577.317999999999,0.001,0.10330039936390675
0.001,0.1126153593561246,4654.9812,0.001,0.10330039936390675
0.001,0.1108207492521705,4732.644400000001,0.001,0.10032744660189377
0.001,0.11331784170762718,4810.3076,0.001,0.10348402248615393
0.001,0.11331784170762718,4887.970800000001,0.001,0.10348402248615393
0.001,0.11282087282096057,4965.634,0.001,0.10269727634926107
0.001,0.1137585715368791,5043.297200000001,0.001,0.10400117236627945
0.001,0.1129785914990377,5120.9604,0.001,0.10232065107789981
0.001,0.1129195704340056,5198.623600000001,0.001,0.10207418991562354
0.001,0.11304288429144752,5276.2868,0.001,0.10114160455465485
0.001,0.11400533164820514,5353.950000000001,0.001,0.10155472543424501
0.001,0.11445241594439572,5431.6132,0.001,0.1016495342289217
0.001,0.11384929751529763,5509.276400000001,0.001,0.10018847719340365
0.001,0.11320602349918224,5586.9396,0.001,0.09867596148260897
0.001,0.11358307762397543,5664.602800000001,0.001,0.09827945707903846
0.001,0.11358307762397543,5742.266,0.001,0.09827945707903846
0.001,0.11358307762397543,5819.9292000000005,0.001,0.09827945707903846
0.001,0.1135684058305363,5897.5923999999995,0.001,0.097329488553379
0.001,0.11348490468966282,5975.2556,0.001,0.09713515765570926
0.001,0.11119657754216894,6052.9187999999995,0.001,0.09267662542595076
0.001,0.11208260759222383,6130.582,0.001,0.09364019848191321
0.001,0.11223442289709089,6208.245199999999,0.001,0.09346440404052545
0.001,0.11242318134354351,6285.9084,0.001,0.09323636632542223
0.001,0.11286778005980636,6363.571600000001,0.001,0.09352184878009867
0.001,0.11256618328596171,6441.2348,0.001,0.09264133039205252
0.001,0.11244260023406265,6518.898000000001,0.001,0.09243710647724779
0.001,0.11244260023406265,6596.5612,0.001,0.09243710647724779
0.001,0.11244260023406265,6674.224400000001,0.001,0.09243710647724779
0.001,0.11605805199122049,6751.8876,0.001,0.09728866524517726
0.001,0.116065216717531,6829.550800000001,0.001,0.09681013712476635
0.001,0.12829182921325089,6907.214,0.001,0.11577068835829074
0.001,0.12819587502540689,6984.877200000001,0.001,0.1147576392778263
0.001,0.1268771889436239,7062.5404,0.001,0.11201363692682428
0.001,0.1268771889436239,7140.203600000001,0.001,0.11201363692682428
0.001,0.12705211360869964,7217.8668,0.001,0.11165456714205269
0.001,0.12705211360869964,7295.530000000001,0.001,0.11165456714205269
0.001,0.1262774080818933,7373.1932,0.001,0.10903142836445542
0.001,0.1261679697919742,7450.856400000001,0.001,0.1081926214192141
0.001,0.12456089401572265,7528.5196,0.001,0.10503788887238093
0.001,0.12519645619232583,7606.1828000000005,0.001,0.10545042198915726
0.001,0.12532806949129072,7683.846,0.001,0.10513286856666598
0.001,0.1251128426034632,7761.5092,0.001,0.10476111020139878
0.001,0.12603968230327287,7839.1723999999995,0.001,0.10565620405492668
0.001,0.12494384760147205,7916.8356,0.001,0.10317557298571842
0.001,0.12348656610898365,7994.4988,0.002,0.09987749584601037
0.001,0.12307556389993154,8072.162,0.001,0.09916287497779117
0.001,0.12307556389993154,8149.825200000001,0.001,0.09916287497779117
0.001,0.1228272741896766,8227.4884,0.001,0.09821722098835631
0.001,0.12149243141146941,8305.151600000001,0.001,0.09554763382313616
0.001,0.12149243141146941,8382.8148,0.001,0.09554763382313616
0.001,0.12359528296939203,8460.478000000001,0.001,0.0985424134713555
0.001,0.12359528296939203,8538.1412,0.001,0.0985424134713555
0.001,0.12212875740035353,8615.8044,0.001,0.09562843086716286
0.001,0.12113839119484385,8693.4676,0.001,0.09274850514181654
0.001,0.12082239196053024,8771.130799999999,0.001,0.09221185570320578
0.001,0.1207269388892391,8848.794000000002,0.001,0.09133365185339051
0.001,0.11959644271087395,8926.4572,0.001,0.08917143982848325
0.001,0.11913575439251432,9004.1204,0.001,0.08810616874220087
0.001,0.11945509608810449,9081.7836,0.001,0.08831318763221457
0.001,0.11915817456865316,9159.446800000002,0.001,0.08752143288627241
0.001,0.11915817456865316,9237.11,0.001,0.08752143288627241
0.001,0.11925888208274081,9314.7732,0.001,0.08766551721257754
0.001,0.11925888208274081,9392.4364,0.001,0.08766551721257754
0.001,0.12214561671304167,9470.099600000001,0.001,0.09206563717687637
0.001,0.12544913381132497,9547.7628,0.001,0.09663176509877017
0.001,0.12544913381132497,9625.426,0.001,0.09663176509877017
0.001,0.12667134692118712,9703.0892,0.001,0.09780886458172577
0.001,0.12667134692118712,9780.752400000001,0.001,0.09780886458172577
0.001,0.1283015707506645,9858.4156,0.001,0.09998807908893617
0.001,0.1283015707506645,9936.0788,0.002,0.09998807908893617
0.001,0.12852238497222515,10013.742,0.001,0.09991913749409717
0.001,0.12813600363021183,10091.405200000001,0.001,0.0992315621740198
0.001,0.12813600363021183,10169.0684,0.001,0.0992315621740198
0.001,0.12813600363021183,10246.7316,0.001,0.0992315621740198
0.001,0.12813244524984613,10324.3948,0.001,0.09875396255488349
0.001,0.12841379474981,10402.058,0.001,0.09876900583979406
0.001,0.12841379474981,10479.7212,0.001,0.09876900583979406
0.001,0.12841379474981,10557.3844,0.001,0.09876900583979406
0.001,0.12802767808379817,10635.047600000002,0.002,0.09804049524129255
0.001,0.12661997431182004,10712.7108,0.001,0.09519044250331302
0.001,0.12618247549176956,10790.374,0.001,0.0940192694129241
0.001,0.12622478935423515,10868.0372,0.001,0.09367059525177948
0.001,0.12622478935423515,10945.700400000002,0.001,0.09367059525177948
0.001,0.12565431302123115,11023.3636,0.002,0.09263307765331502
0.001,0.12469208697812693,11101.0268,0.001,0.09020122026111943
0.001,0.12316360551855005,11178.69,0.001,0.08727593806894815
0.001,0.1241180203954405,11256.353200000001,0.001,0.08853350294266465
0.001,0.12410682401400935,11334.0164,0.002,0.08845859106758036
0.001,0.12348540533683747,11411.6796,0.001,0.08706933758064003
0.001,0.12251795369132137,11489.3428,0.002,0.08507375733032464
0.001,0.12251795369132137,11567.006000000001,0.001,0.08507375733032464
0.001,0.12251795369132137,11644.6692,0.001,0.08507375733032464
0.001,0.12251795369132137,11722.3324,0.001,0.08507375733032464
0.001,0.12251795369132137,11799.9956,0.001,0.08507375733032464
0.001,0.12251795369132137,11877.658800000001,0.001,0.08507375733032464
0.001,0.12251795369132137,11955.322,0.001,0.08507375733032464
0.001,0.12251795369132137,12032.9852,0.001,0.08507375733032464
0.001,0.12251795369132137,12110.648400000002,0.001,0.08507375733032464
0.001,0.12251795369132137,12188.3116,0.001,0.08507375733032464
0.001,0.12251795369132137,12265.9748,0.001,0.08507375733032464
0.001,0.12151440113104536,12343.638,0.002,0.08287778267129203
0.001,0.12151440113104536,12421.301200000002,0.001,0.08287778267129203
0.001,0.11961315374834676,12498.9644,0.002,0.07912513387294932
0.001,0.12082179085113218,12576.6276,0.002,0.08025773125409918
0.001,0.12082179085113218,12654.2908,0.002,0.08025773125409918
0.001,0.11878259014038309,12731.954000000002,0.003,0.07641953829403414
0.001,0.12054591162782549,12809.6172,0.002,0.07918330704733023
0.001,0.12054591162782549,12887.2804,0.002,0.07918330704733023
0.001,0.12054591162782549,12964.9436,0.004,0.07918330704733023
0.001,0.12054548147450073,13042.606800000001,0.003,0.07916310822368111
0.001,0.11957558979829754,13120.27,0.001,0.07684936539503656
0.001,0.11957558979829754,13197.9332,0.003,0.07684936539503656
0.001,0.1200970145838588,13275.5964,0.003,0.07747308524326565
0.001,0.12100071452566172,13353.259600000001,0.003,0.07875032622249736
0.001,0.12110893228154865,13430.9228,0.001,0.0786075712234546
0.001,0.12110893228154865,13508.586,0.001,0.0786075712234546
0.001,0.12365192730987207,13586.2492,0.001,0.08267801431454634
0.001,0.12365192730987207,13663.912400000001,0.004,0.08267801431454634
0.001,0.12308211668785592,13741.5756,0.003,0.081378307606505
